iter	Passed	Remaining
929	73805	5555
930	73870	5474
931	73945	5395
932	74019	5315
933	74087	5235
934	74160	5155
935	74234	5075
936	74310	4996
937	74381	4916
938	74454	4836
939	74529	4757
940	74597	4677
941	74668	4597
942	74739	4517
943	74809	4437
944	74879	4358
945	74954	4278
946	75027	4198
947	75095	4119
948	75163	4039
949	75240	3960
950	75337	3881
951	75415	3802
952	75495	3723
953	75575	3644
954	75658	3565
955	75740	3485
956	75826	3407
957	75909	3327
958	75997	3249
959	76086	3170
960	76166	3091
961	76250	3011
962	76330	2932
963	76414	2853
964	76503	2774
965	76578	2695
966	76662	2616
967	76740	2536
968	76822	2457
969	76905	2378
970	76990	2299
971	77071	2220
972	77155	2141
973	77247	2062
974	77345	1983
975	77418	1903
976	77491	1824
977	77559	1744
978	77626	1665
979	77693	1585
980	77763	1506
981	77830	1426
982	77896	1347
983	77963	1267
984	78037	1188
985	78110	1109
986	78181	1029
987	78252	950
988	78327	871
989	78426	792
990	78544	713
991	78623	634
992	78695	554
993	78765	475
994	78835	396
995	78910	316
996	78991	237
997	79067	158
998	79140	79
999	79218	0
